message_id,wpm,snr_requested_db,signal_type,device,transform,windows_available,windows_tested,fidelity_mean,fidelity_std,fidelity_min,leakage_mean,leakage_max,depth_mean,depth_std,size_mean,size_std,twoq_mean,twoq_std,simulation_time_mean_s,simulation_time_std_s,simulation_time_total_s
1,20,,clean,FakeSherbrooke,QDCT,260,260,0.0020410484646525796,4.703684434158376e-05,0.001982964083101228,0.49301811804057927,0.4930510688664391,7118.738461538462,45.66879996168969,13306.86923076923,45.99538245411806,2221.0,0.0,1.0507076234626136,0.06007191311163095,273.18398210027954
1,20,,clean,FakeSherbrooke,QDST,260,260,0.002006385787961207,5.1193651937812867e-05,0.0019173743817334197,0.5067749139890622,0.5067913131232427,7118.738461538462,45.66879996168969,13307.86923076923,45.99538245411806,2221.0,0.0,1.0570974415380847,0.08388187138842987,274.84533479990205
1,20,,clean,FakeSherbrooke,QDWT,260,260,0.003927866715686294,8.162796425341696e-05,0.0037991708929496497,0.0,0.0,8438.657692307692,45.66519186996492,14805.788461538461,45.99788311954464,2451.0,0.0,0.791503205002608,0.05476798374830739,205.79083330067806
1,20,30.0,noisy,FakeSherbrooke,QFT,260,260,0.04172175093942753,0.0016682507545734738,0.037520750676021036,0.0,0.0,1240.25,49.75867724868158,2036.9884615384615,49.778160386652395,315.0,0.0,0.4155230007700783,0.05131162630553448,108.03598020022037
1,20,30.0,noisy,FakeSherbrooke,QDCT,260,260,0.002041007447016364,4.644968283894281e-05,0.0019822112684524814,0.49301789428790865,0.4930521142628994,7152.492307692308,49.859532867361274,13341.23076923077,49.87700849420864,2221.0,0.0,1.060733875383784,0.06714897677063848,275.7908075997839
1,20,30.0,noisy,FakeSherbrooke,QDST,260,260,0.0020052849391270253,5.02382102479841e-05,0.0019173033459521957,0.5067748401550932,0.506791722778803,7152.492307692308,49.859532867361274,13342.23076923077,49.87700849420864,2221.0,0.0,1.0536361034612547,0.056817216458391266,273.94538689992623
1,20,30.0,noisy,FakeSherbrooke,QDWT,260,260,0.003928172301961535,9.965895300032865e-05,0.0037054531778297644,0.0,0.0,8472.242307692308,49.75840611685568,14839.98076923077,49.77753987825594,2451.0,0.0,0.7939554388466954,0.05457557739421065,206.4284141001408
1,20,10.0,noisy,ideal,QFT,260,260,0.9999999999999989,1.721176243922038e-15,0.9999999999999942,0.0,0.0,511.0,0.0,542.0,0.0,279.0,0.0,0.0336362926925246,0.003761179105959678,8.745436100056395
1,20,10.0,noisy,ideal,QDCT,260,260,0.9999999999998848,3.993729615591168e-15,0.9999999999998737,0.0,0.0,3235.0,0.0,4377.0,0.0,2061.0,0.0,0.4692355953835291,0.016801695849038196,122.00125479971757
1,20,10.0,noisy,ideal,QDST,260,260,0.9999999999998843,3.2764893406545138e-15,0.9999999999998723,0.0,0.0,3236.0,0.0,4378.0,0.0,2061.0,0.0,0.4682300730789743,0.013043947439381857,121.73981900053332
