message_id,wpm,snr_requested_db,signal_type,transform,implementation,retention_requested,retention_actual,avg_kept,rmse,snr_db,correlation,rmse_vs_clean,snr_vs_clean_db,corr_vs_clean,retention_pct
0,20,30,noisy,DCT,classical,0.01,0.01171875,3.0,0.17162519991831232,9.173005857318934,0.9375627694336228,0.17044716778095514,9.225535179702065,0.9383380931030162,1.0
0,20,30,noisy,DST,classical,1.0,1.0,256.0,2.0870058379783415e-16,inf,0.9999999999999999,0.021789283126934837,27.092472122341317,0.9990245592386581,100.0
0,20,30,noisy,DST,classical,0.85,0.8515625,218.0,0.0036598747064092644,42.59530262320041,0.9999724930792734,0.022376896571962457,26.861333873387764,0.9989711686138317,85.0
0,20,30,noisy,DST,classical,0.75,0.75,192.0,0.007065191303549987,36.88214846608612,0.999897487518473,0.02332479778756738,26.500973216860622,0.9988819875282712,75.0
0,20,30,noisy,DST,classical,0.5,0.5,128.0,0.01781064127383908,28.851035848834403,0.9993483605436311,0.02708152854107508,25.203867499119603,0.9984916695416789,50.0
0,20,30,noisy,DST,classical,0.45,0.453125,116.0,0.02044525399802992,27.652776773909874,0.9991412266338939,0.028482266622478016,24.765840012918282,0.9983312380545458,45.0
0,20,30,noisy,DST,classical,0.25,0.25,64.0,0.034562537826602645,23.092514500854552,0.997543870453471,0.03646596782499142,22.619576075058863,0.9972615350338832,25.0
0,20,30,noisy,DST,classical,0.1,0.1015625,26.0,0.054596063139760065,19.121400432997504,0.9938600438343267,0.052795962981649826,19.40531665032332,0.9942498222411866,10.0
0,20,30,noisy,DST,classical,0.05,0.05078125,13.0,0.07502922615611012,16.360017635941496,0.9883721347801863,0.07275317459587445,16.62029199239787,0.9890522811163929,5.0
0,20,30,noisy,DST,classical,0.02,0.0234375,6.0,0.1158466730585708,12.586955659541042,0.9720498580681077,0.11413087469458122,12.709268050049342,0.9728368869328745,2.0
0,20,30,noisy,DST,classical,0.01,0.01171875,3.0,0.17004559676343567,9.253319168030437,0.9387445114513114,0.16872705925767648,9.313636218634336,0.9396165645514156,1.0
0,20,30,noisy,DWT,classical,1.0,1.0,256.0,2.08030859990227e-16,inf,0.9999999999999997,0.021789283126934837,27.092472122341317,0.9990245592386582,100.0
0,20,30,noisy,DWT,classical,0.85,0.8515625,218.0,0.017326476966009977,29.09042166891449,0.9993835624591104,0.02791485751097078,24.94062265649269,0.9983977330436825,85.0
0,20,30,noisy,DWT,classical,0.75,0.75,192.0,0.03698319159856774,22.50453923087705,0.9971883081934366,0.04301956986946104,21.184009688223007,0.9961885535123779,75.0
0,20,30,noisy,DWT,classical,0.5,0.5,128.0,0.10096509145984478,13.781202119596651,0.9788423050938958,0.10368236572021466,13.543233005237642,0.977639103185951,50.0
0,20,30,noisy,DWT,classical,0.45,0.453125,116.0,0.11396484448212965,12.729208936104133,0.9729629798792905,0.1161944832757614,12.553620784919847,0.971833237608173,45.0
0,20,30,noisy,DWT,classical,0.25,0.25,64.0,0.20020315009772424,7.835208847888594,0.9139921349185444,0.2008955333754102,7.797925345155665,0.913216684000108,25.0
0,20,30,noisy,DWT,classical,0.1,0.1015625,26.0,0.3128839876016061,3.9569602216743673,0.7732579579445998,0.31283321635775857,3.951073767046135,0.7729059032052822,10.0
0,20,30,noisy,DWT,classical,0.05,0.05078125,13.0,0.38105784339854043,2.244808875318615,0.6353152252214389,0.3807716996156859,2.2440377136822063,0.6352321706958298,5.0
0,20,30,noisy,DWT,classical,0.02,0.0234375,6.0,0.43321115306891805,1.1306343988839165,0.47875790748586805,0.432881103797626,1.1299583973954384,0.4786328702812888,2.0
